Nowe oferty od A do F	PL	ENG		Region	WYBIERZ	Merchant name	Start date	Średnia ilosc paczek 2022	Średnia ilosc paczek od 1-9 2023	Status 2022	Status 10.2023	Reve	Pierwszy produkt w paczce	Ile miesięcy	Waluta	Region			Koszty per pozycja	PL	PL	PL	INT	INT	INT	Razem: Suma z WARTOŚC PLN bez produktu V3	Razem: Suma z ILOSC V2 (ujednolicone magazynowanie)	Razem: Suma z SREDNIA V3			PL	EUR	Arkusze z raportu	Koszty per klient	Pozycja V4	Średnia wartość w 06'-09'23 PLN	Średnie wystąpienia w 06'-09'23	Key	Ilosc				Etykiety wierszy	Suma z Liczba SKU (SUMA z okresów 06'-09')				Key	Master reve (średnia ważona 06'-09')					Key	Logo	Tech	Stary próg	Cena	Nowy próg	Tomek			2drink	6,1			SYMBOL 	NAZWA POLSKA	NAZWA ANGIELSKA	SYMBOL 	Strefa	KRAJ	STREFA			Oferty	Score			Logo	Kod	Typ	Pozycja	Ilosc		DACH	FULL CARRIER PRICE LIST	COUNTRY - CARRIER - WEIGHT	NEW RATE	8		PLN	1			Poprzedni poziom oferty	Nowy poziom oferty
A	7	8		DACH	Barboza	Barbozasport	2022-08	61	=WYSZUKAJ.PIONOWO(F2;Sprawdzenie!$K:$V;12;0)	1. Live	=WYSZUKAJ.PIONOWO(F2;Sprawdzenie!$B:$G;6;0)	2 879,50zł	TAK	4	EUR	=E2			Etykiety wierszy	Suma z WARTOŚC PLN bez produktu V3	Suma z ILOSC V2 (ujednolicone magazynowanie)	Suma z SREDNIA V3	Suma z WARTOŚC PLN bez produktu V3	Suma z ILOSC V2 (ujednolicone magazynowanie)	Suma z SREDNIA V3					A	4	11	progi_wsad_poprawny	WeAreWild	>50001	79320	53407	=AI2&AJ2	=AL2				2drink	10099				2drinkFreight	9093,135					=BD2&BE2	2drink	WzStaw1	399	6,65	0 - 499				Aleo	8,33			AF	Afganistan	Afghanistan	AF	="STREFA "&WYSZUKAJ.PIONOWO(BQ2;BU:BV;2;0)	Austria	1			F	1,00	F		ErgoBox	WzStawTop	WYDANIE	ile produków jest wliczonych w paczkę	0		UK	FULL CARRIER PRICE LIST	COUNTRY - CARRIER - WEIGHT	NEW RATE	8		EUR	=Zmienne2023!C3	=WYSZUKAJ.PIONOWO(F2;Sprawdzenie!$B:$G;6;0)		poziom A	nowe A
B	9	10		DACH	Coffeeness	Coffeeness	2022-4	76	=WYSZUKAJ.PIONOWO(F3;Sprawdzenie!$K:$V;12;0)	1. Live	=WYSZUKAJ.PIONOWO(F3;Sprawdzenie!$B:$G;6;0)	5 132,80zł	NIE	6	EUR	=E3			MAGAZYNOWANIE	1288115	22414	57,47	440089	6061	72,61	1728203,66	28474,63	60,69		B	5	12		Ahojbaby	0-499	1118	349	=AI3&AJ3	=AL3				Ahojbaby	3618				2drinkHandling	8075,825					=BD3&BE3	2drink	WzStawMAX	400	6,1	0 - 499	500-999			Australian	5,84			AL	Albania	Albania	AL	="STREFA "&WYSZUKAJ.PIONOWO(BQ3;BU:BV;2;0)	Belgia	1			E	2,00	E		2drink	WzStawTop	WYDANIE	ile produków jest wliczonych w paczkę	0		PL	PEŁNY CENNIK KURIERSKI	KRAJ  - KURIER - WAGA	NOWA STAWKA	7						poziom B	nowe B
C	11	12		DACH	Fielmann	Fielmann AG	2021-04	3357	=WYSZUKAJ.PIONOWO(F4;Sprawdzenie!$K:$V;12;0)	1. Live	=WYSZUKAJ.PIONOWO(F4;Sprawdzenie!$B:$G;6;0)	57 883,08zł	NIE	6	PLN	=E4			MAGAZYNOWANIE	1288115	22414	57,47	440089	6061	72,61	1728203,66	28474,63	60,69		C	6	13		ArtWorks	0-499	501	93	=AI4&AJ4	=AL4				ArtWorks	4755				2drinkMerchant Support	1036,1875					=BD4&BE4	7SFabricat	WzStawPrg1	999	4,99	500 - 999				Barboza	7,09			DZ	Algieria	Algeria	DZ	="STREFA "&WYSZUKAJ.PIONOWO(BQ4;BU:BV;2;0)	Bułgaria	1			D	3,00	D		366Concept	WzStawTop	WYDANIE	ile produków jest wliczonych w paczkę	1		INT	FULL CARRIER PRICE LIST	COUNTRY - CARRIER - WEIGHT	NEW RATE	8						poziom C	nowe D
D	13	14		DACH	FielmannCZ	#N/D!	#N/D!	212	=WYSZUKAJ.PIONOWO(F5;Sprawdzenie!$K:$V;12;0)	#N/D!	=WYSZUKAJ.PIONOWO(F5;Sprawdzenie!$B:$G;6;0)	#N/D	NIE	6	PLN	=E5			Dedykowana powierzchnia magazynowa	3726	8	465,77	2548	4	636,92	6273,82	12	522,82		D	7	14		BilligVent	0-499	1751	330	=AI5&AJ5	=AL5				Australian	43599				2drinkPackaging	1038,05					=BD5&BE5	7SFabricat	WzStawPrg2	2 999,00	3,99	1 000 - 2 999				BilligVent	8,05			AD	Andora	Andorra	AD	="STREFA "&WYSZUKAJ.PIONOWO(BQ5;BU:BV;2;0)	Chorwacja	1			C	4,00	C		2rebel	WzStawTop	WYDANIE	ile produków jest wliczonych w paczkę	1												poziom D	nowe E
E	15	16		DACH	Forhumans	Forhumans	2022-11	2	=WYSZUKAJ.PIONOWO(F6;Sprawdzenie!$K:$V;12;0)	1. Live	=WYSZUKAJ.PIONOWO(F6;Sprawdzenie!$B:$G;6;0)	4 094,00zł	TAK	1	EUR	=E6			Paleta [1 szt.]: (bez dostępu do strefy pakowania)	153440	3991	38,45	31685	693	45,71	185125	4683,87	39,52		E	8	15		Brothers	0-499	245	25	=AI6&AJ6	=AL6				Barboza	7567				2drinkWarehousing	5337,3625					=BD6&BE6	7SFabricat	WzStawPrg3	9 999,00	3,59	6 000 - 9 999	3000-5999			Bizuu	3,51			AO	Angola	Angola	AO	="STREFA "&WYSZUKAJ.PIONOWO(BQ6;BU:BV;2;0)	Cypr	1			B	5,00	B		Aleo	WzStawTop	WYDANIE	ile produków jest wliczonych w paczkę	1												poziom E	nowe F
F	17	18		DACH	MonteNativ	Montenativo	2021-4	150	=WYSZUKAJ.PIONOWO(F7;Sprawdzenie!$K:$V;12;0)	1. Live	=WYSZUKAJ.PIONOWO(F7;Sprawdzenie!$B:$G;6;0)	9 649,31zł	NIE	6	EUR	=E7			Paleta [1 szt.]: (z dostępem do strefy pakowania)	214578	2870	74,75	182494	2318	78,74	397071,81	5188,07	76,54		F	9	16		CancerFree	0-499	68	16	=AI7&AJ7	=AL7				BilligVent	1823				7SFabricatAdditional	9556,933333					=BD7&BE7	7SFabricat	WzStawPrgMax	0	3,39	0 - 499				Brothers	8,02			AI	Anguilla	Anguilla	AI	="STREFA "&WYSZUKAJ.PIONOWO(BQ7;BU:BV;2;0)	Czechy	1			A	6,00	A		AllProStud	WzStawTop	WYDANIE	ile produków jest wliczonych w paczkę	1												poziom C+	nowe C
				DACH	Osa	Dermacolla	2022-11	0	=WYSZUKAJ.PIONOWO(F8;Sprawdzenie!$K:$V;12;0)	1. Live	=WYSZUKAJ.PIONOWO(F8;Sprawdzenie!$B:$G;6;0)	1 785,40zł	TAK	4	EUR	=E8			Paleta z dostępem do kompletacji B [szt; wymiary 120x160 cm]	47066	320	147,3	5071	49	102,76	52137,27	368,87	141,34						ChLauPL	0-499	0	0	=AI8&AJ8	=AL8				Bizuu	23262				7SFabricatHandling	0					=BD8&BE8	Aleo	WzStaw1	199	8,96	0 - 499				CarrieAtel	4,39			AQ	Antarktyda	Antarctica	AQ	="STREFA "&WYSZUKAJ.PIONOWO(BQ8;BU:BV;2;0)	Dania	1							AssecoBS	WzStawTop	WYDANIE	ile produków jest wliczonych w paczkę	1													
				DACH	Regen	Regenbogenkreis		0	=WYSZUKAJ.PIONOWO(F9;Sprawdzenie!$K:$V;12;0)	1. Live	=WYSZUKAJ.PIONOWO(F9;Sprawdzenie!$B:$G;6;0)	9 363,00zł	TAK	0	EUR	=E9			Pozostałe miejsce magazynowe [szt]	17305	577	29,99				17304,58	577,07	29,99						CieszeSie	0-499	51	8	=AI9&AJ9	=AL9				Brothers	116				7SFabricatWarehousing	364,7975					=BD9&BE9	Aleo	WzStaw2	299	7,66	0 - 499				CieszeSie	5,4			AG	Antigua i Barbuda	Antigua and Barbuda	AG	="STREFA "&WYSZUKAJ.PIONOWO(BQ9;BU:BV;2;0)	Estonia	1							ArvatoGoog	WzStawTop	WYDANIE	ile produków jest wliczonych w paczkę	1													
	WYBIERZ	WYBIERZ		DACH	Wunder	Wunderworkshop.com		0	=WYSZUKAJ.PIONOWO(F10;Sprawdzenie!$K:$V;12;0)	1. Live	=WYSZUKAJ.PIONOWO(F10;Sprawdzenie!$B:$G;6;0)	9 558,00zł	TAK	1	EUR	=E10			Regał [1 m³]: (z dostępem do strefy pakowania)	708650	13182	53,76	185486	2910	63,75	894135,98	16091,09	55,57						Coffeeness	0-499	347	41	=AI10&AJ10	=AL10				CancerFree	95				AhojbabyAdditional	0					=BD10&BE10	Aleo	WzStaw3	399	6,39	0 - 499				Coffeeness	7,02			SA	Arabia Saudyjska	Saudi Arabia	SA	="STREFA "&WYSZUKAJ.PIONOWO(BQ10;BU:BV;2;0)	Finlandia	1							Aloe	WzStawTop	WYDANIE	ile produków jest wliczonych w paczkę	1													
	2drink	Barboza		INT	Australian	Australian Bodycare	2021-9	3846	=WYSZUKAJ.PIONOWO(F11;Sprawdzenie!$K:$V;12;0)	1. Live	=WYSZUKAJ.PIONOWO(F11;Sprawdzenie!$B:$G;6;0)	108 906,23zł	NIE	6	EUR	=E11			Ubezpieczenie od zadeklarowanej wartości towaru [miesięcznie]	74458	157	474,25	32806	87	377,08	107263,32	244	439,6						DanielWell	0-499	231	28	=AI11&AJ11	=AL11				ChLauPL	3				AhojbabyAdvance	0					=BD11&BE11	Aleo	WzStawMAX	400	5,75	0 - 499	500-999			ColumbusPL	4,49			AR	Argentyna	Argentina	AR	="STREFA "&WYSZUKAJ.PIONOWO(BQ11;BU:BV;2;0)	Francja	1							BALMORA	WzStawTop	WYDANIE	ile produków jest wliczonych w paczkę	0													
