Pozycja w cenniku;Obecna stawka;Nowa stawka wg indeksacji z propozycji;Różnica procentowa;Nowa stawka wg indeksacji z obecnej umowy
PRZYJĘCIE - Przyjęcie produktu [szt.];0,47 zł;0,34 zł;-27,66%;0,54 zł
PRZYJĘCIE - Lub przyjęcie opakowania zbiorczego [szt.];2,12 zł;1,09 zł;-48,58%;2,40 zł
PRZYJĘCIE - Przyjęcie palety jednorodnej [szt.];9,35 zł;7,99 zł;-14,55%;10,57 zł
PRZYJĘCIE - Minimalna opłata za przyjęcie dostawy;11,70 zł;9,90 zł;-15,38%;13,23 zł
WYDANIE - > 30 000;2,97 zł;1,49 zł;-49,83%;3,36 zł
WYDANIE - 20 000 - 29 999;3,07 zł;1,59 zł;-48,21%;3,47 zł
WYDANIE - 10 000 - 19 999;3,30 zł;1,79 zł;-45,76%;3,73 zł
WYDANIE - 6 000 - 9 999;3,59 zł;1,99 zł;-44,57%;4,06 zł
WYDANIE - 3 000 - 5 999;4,01 zł;2,29 zł;-42,89%;4,54 zł
WYDANIE - 1 000 - 2 999;5,00 zł;2,99 zł;-40,20%;5,65 zł
WYDANIE - 500 - 999;5,15 zł;3,49 zł;-32,23%;5,82 zł
WYDANIE - 0 - 499;5,59 zł;4,29 zł;-23,26%;6,32 zł
WYDANIE - Pierwszy produkt z danego SKU;0,85 zł;0,79 zł;-7,06%;0,97 zł
WYDANIE - Kolejny produkt z danego SKU;0,52 zł;0,49 zł;-5,77%;0,59 zł
WYDANIE - Wydanie na opakowanie zbiorcze;1,49 zł;1,49 zł;0,00%;1,69 zł
WYDANIE - Usługa pakowania;0,65 zł;0,99 zł;52,31%;0,74 zł
ZWROTY - Otwarcie zwrotu;1,59 zł;2,09 zł;31,45%;1,80 zł
ZWROTY - Pierwszy i każdy kolejny produkt w zwrocie;2,89 zł;2,19 zł;-24,22%;3,27 zł
MAGAZYNOWANIE - Regał [1 m³]: (z dostępem do strefy pakowania);57,99 zł;57,99 zł;0,00%;65,53 zł
MAGAZYNOWANIE - Paleta [1 szt.]: (z dostępem do strefy pakowania);79,99 zł;79,99 zł;0,00%;90,39 zł
MAGAZYNOWANIE - Paleta [1 szt.]: (bez dostępu do strefy pakowania);39,99 zł;39,99 zł;0,00%;45,19 zł
MAGAZYNOWANIE - Wieszak na ubrania [1 mb];59,99 zł;59,99 zł;0,00%;67,79 zł
MAGAZYNOWANIE - Ubezpieczenie [% wartości towaru];x;0,05%;x;x
OPIEKUN KLIENTA - Wsparcie Merchant Support [miesięcznie];1 126,00 zł;0,00 zł;-100,00%;0,00 zł
OPIEKUN KLIENTA - Dedykowany opiekun Merchanta [miesięcznie];1 126,00 zł;1 999,00 zł;77,53%;1 272,38 zł
